ImageFiles,Show Attend And Tell,Novel Object Captioner,Decoupled Novel Object Captioner,Object Classes per Image,Object Instances per Image,Length of Caption
b00000596_21i57n_20150526_152205e.jpg,a man sitting at a desk with a laptop.,A large white airplane sitting on top of a kitchen counter.,a tv is sitting on a tv in a kitchen,0,0,"[9, 11, 10]"
b00003258_21i57n_20150520_130918e.jpg,a person holding a cell phone in a kitchen.,A silver and silver pot with a white and black background.,a person with a oven and a oven,1,1,"[9, 11, 8]"
b00001417_21i57n_20150509_121659e.jpg,a group of people playing a video game.,A woman is taking a picture of a woman in a mirror.,a man and woman playing a video game,3,5,"[8, 12, 8]"
b00001812_21i57n_20150519_085528e.jpg,a person standing in front of a refrigerator.,A man in a red shirt is sitting on a train.,a surfboard with a surfboard and a surfboard,1,1,"[8, 11, 8]"
b00000291_21i57n_20150525_203914e.jpg,a woman is holding a cell phone in her hand.,A man is holding a baseball bat while standing in a field.,a woman holding a bicycle in a room,1,4,"[10, 12, 8]"
b00000399_21i57n_20150526_131257e.jpg,a woman sitting at a table with a glass of wine.,A man is standing in the middle of a table with a bowl of food.,a man in a white shirt is holding a bowl,3,7,"[11, 15, 10]"
b00005561_21i57n_20150523_171442e.jpg,a man standing on a tennis court holding a racquet.,A man is sitting on a bench with a racket.,a man sitting on a bicycle with a bicycle,2,2,"[10, 10, 9]"
b00000867_21i57n_20150518_130321e.jpg,a group of people standing in a living room.,A man in a white shirt and a black and white photo.,a man is standing in front of a couch,1,3,"[9, 12, 9]"
b00002658_21i57n_20150517_143239e.jpg,a person on a beach flying a kite.,A person on a beach flying a kite.,a kite is flying over the ocean with a kite,2,9,"[8, 8, 10]"
b00000675_21i57n_20150526_160909e.jpg,a man and a woman in a kitchen.,A man is sitting in a chair with a plate of food.,a man and a woman cutting a dining table,2,3,"[8, 12, 9]"
b00002572_21i57n_20150517_140112e.jpg,a view of a beach with a beach.,A man is sitting on a beach with a large kite.,a man is standing on a beach with a cell phone,4,6,"[8, 11, 11]"
b00000037_21i57n_20150517_214020e.jpg,two people sitting at a table with wine glasses.,A woman is sitting at a table with a wine glass.,a man is sitting at a table with a wine glass,4,5,"[9, 11, 11]"
b00002502_21i57n_20150517_133301e.jpg,a view of a field with mountains in the background.,A man is flying a kite in the middle of a field.,a person is flying a bicycle in the sky,0,0,"[10, 12, 9]"
b00003252_21i57n_20150520_130637e.jpg,a person standing under an umbrella in the rain.,A person is walking down a street with a dog.,a person is parked at a person station,1,2,"[9, 10, 8]"
b00003178_21i57n_20150520_123252e.jpg,a woman standing in front of a counter top.,A man in a restaurant eating a large piece of cake.,a man in a kitchen preparing food in a kitchen,3,13,"[9, 11, 10]"
b00004938_21i57n_20150512_130908e.jpg,a park bench in the middle of a field.,A person is sitting on a bench in the park.,a bench is sitting on a bench in the park,2,5,"[9, 10, 10]"
b00005425_21i57n_20150523_140037e.jpg,a man standing next to a brick building.,A man is walking down a street with a dog.,a person is parked on the side of a street,1,4,"[8, 10, 10]"
b00000022_21i57n_20150524_163611e.jpg,a couple of people standing next to each other.,A group of people standing around a large red building.,a group of people standing around a street,1,5,"[9, 10, 8]"
b00004779_21i57n_20150522_134531e.jpg,a street scene with a street sign on the side of it.,A man is on a court with a racket.,a person is parked on the side of a road,1,5,"[12, 9, 10]"
b00000366_21i57n_20150525_213050e.jpg,a group of people standing next to each other.,A group of people sitting around a table with a cake.,a man and a woman are playing a video game,1,4,"[9, 11, 10]"
b00002020_21i57n_20150509_165647e.jpg,a man riding a bike down a street.,A man is sitting on a bench with a bicycle.,a man riding a backpack down a street,3,7,"[8, 10, 8]"
b00000340_21i57n_20150525_211155e.jpg,a group of people sitting around a table.,A group of people sitting around a table with a large white cake.,a group of people sitting around a table with food,3,7,"[8, 13, 10]"
b00002493_21i57n_20150509_224953e.jpg,a group of people playing a video game.,A man in a kitchen preparing food in a kitchen.,a group of people standing around a table,2,6,"[8, 10, 8]"
b00002610_21i57n_20150517_141628e.jpg,a person on a beach flying a kite.,A person is riding a skateboard on a brick wall.,a person on a beach flying a kite,2,2,"[8, 10, 8]"
b00005426_21i57n_20150523_140112e.jpg,a large brick building with a clock on it.,A man is sitting on a brick wall with a unk.,a bicycle is sitting in a bathroom with a bicycle,1,1,"[9, 11, 10]"
b00000098_21i57n_20150517_220929e.jpg,a couple of people sitting at a table.,A man in a kitchen with a plate of food.,a man is sitting at a table with a bottle,4,6,"[8, 10, 10]"
b00004918_21i57n_20150512_130047e.jpg,a train traveling down the tracks near a bridge.,A man is sitting on a bench in the middle of a river.,a bicycle is sitting on the side of a road,0,0,"[9, 13, 10]"
b00004439_21i57n_20150522_003106e.jpg,a man in a blue shirt sitting on a motorcycle.,A man in a blue shirt is sitting on a wooden table.,a man is riding a bottle in a skate park,3,9,"[10, 12, 10]"
b00004340_21i57n_20150521_234215e.jpg,a glass of wine sitting on a table.,A man in a black and white photo with a large vase of flowers.,a man is sitting at a table with a bicycle,1,4,"[8, 14, 10]"
b00002682_21i57n_20150517_144306e.jpg,a person on a beach flying a kite.,A person on a snowboard is in the air.,a kite is flying a kite on the beach,0,0,"[8, 9, 9]"
b00005710_21i57n_20150524_021420e.jpg,a blurry photo of a person on a skateboard.,A man in a dark room with a large window.,a person is sitting on a bicycle station,1,1,"[9, 10, 8]"
b00002429_21i57n_20150509_222007e.jpg,a group of people sitting around a table.,A group of people eating food at a table.,a group of people sitting around a table,2,6,"[8, 9, 8]"
b00002525_21i57n_20150517_134225e.jpg,a person on a beach with a kite.,A man is standing in front of a window.,a person is standing in the sand near a body of water,1,1,"[8, 9, 12]"
b00002665_21i57n_20150517_143619e.jpg,a person flying a kite on a beach.,A person on a beach with a kite in the air.,a person flying a kite on a beach,2,3,"[8, 11, 8]"
b00000657_21i57n_20150518_113833e.jpg,a man and a woman standing in a kitchen.,A woman is sitting on a kitchen sink with a large mirror.,a woman is standing in front of a bicycle,1,3,"[9, 12, 9]"
b00003300_21i57n_20150517_191328e.jpg,a man and a woman sitting in a car.,A man in a car seat of a car with a dog in the back seat.,a man in a hat is talking on a cell phone,1,2,"[9, 16, 11]"
b00002796_21i57n_20150517_153102e.jpg,a view of a city street with a bus in the background.,A group of people are sitting at a table.,a car is parked on the side of a road,1,2,"[12, 9, 10]"
b00000389_21i57n_20150525_214914e.jpg,a group of people sitting around a table.,A group of people are sitting in a room.,a group of people standing around a table,3,6,"[8, 9, 8]"
b00002574_21i57n_20150517_140159e.jpg,a person flying a kite on a beach.,A person on a beach flying a kite.,a person flying a kite on the beach,2,4,"[8, 8, 8]"
b00000253_21i57n_20150525_201413e.jpg,a group of people standing next to each other.,A woman holding a dog in a outside of a building.,a man and woman are standing in front of a store,2,5,"[9, 11, 11]"
b00005267_21i57n_20150523_121815e.jpg,a man and a woman are riding a bike.,A man is standing on a skateboard in the middle of a street.,a man and woman sitting on a bicycle,3,6,"[9, 13, 8]"
b00002787_21i57n_20150517_152705e.jpg,a man is standing next to a bus.,A white and blue train is going down the tracks.,a person is parked on the ground next to a person,1,1,"[8, 10, 11]"
b00000152_21i57n_20150517_223558e.jpg,a group of people sitting around a table.,A man is sitting at a table with a large cake in his hand.,a man is sitting at a table with a bottle,3,6,"[8, 14, 10]"
b00002643_21i57n_20150517_142619e.jpg,a person riding a snowboard down a snow covered slope.,A person on a snowboard is in the snow.,a person is standing on a beach with a bicycle,0,0,"[10, 9, 10]"
b00002420_21i57n_20150509_221553e.jpg,a group of people standing around a table.,A group of people standing around a table with food.,a group of people sitting around a table eating food,3,9,"[8, 10, 10]"
b00004772_21i57n_20150522_134104e.jpg,a woman sitting on a bench with a cat.,A woman is sitting on a bench with a cat.,a woman sitting on a bicycle with a bicycle,1,2,"[9, 10, 9]"
b00003074_21i57n_20150517_174349e.jpg,a man holding a skateboard in front of a building.,A man is standing on a sidewalk holding a phone.,a woman is sitting on a cell phone in the park,3,3,"[10, 10, 11]"
b00002900_21i57n_20150510_165035e.jpg,a couple of people sitting on a bench.,A woman is holding a child in a park.,a man is playing with a person in the park,2,3,"[8, 9, 10]"
b00005299_21i57n_20150523_123753e.jpg,a man and a woman are on a bike.,A man riding a skateboard down a street.,a man riding a bicycle down a street,4,11,"[9, 8, 8]"
b00004358_21i57n_20150521_235025e.jpg,a close up of a plate of food on a table.,A silver and silver plate with a knife and a cup of coffee.,a table with a bowl of coffee and a bowl of coffee,3,5,"[11, 13, 12]"
b00000091_21i57n_20150517_220613e.jpg,a group of people sitting around a table.,A man in a grey shirt and black shorts playing a game of unk.,a wine glass is sitting in a wine glass with a wine glass,4,8,"[8, 14, 13]"
b00005359_21i57n_20150523_131906e.jpg,a man riding a bike down a street.,A man is riding a motorcycle down a street.,a man riding a bicycle down a street,2,4,"[8, 9, 8]"
b00002677_21i57n_20150517_144107e.jpg,a view of a beach with a beach.,A man is flying a kite in the sky.,a kite on a beach with a kite on the beach,0,0,"[8, 9, 11]"
b00005132_21i57n_20150522_220932e.jpg,a man is holding a pizza in a restaurant.,A man is preparing food in a kitchen.,a man is eating a pizza with a person,3,4,"[9, 8, 9]"
b00002779_21i57n_20150517_152350e.jpg,a car is parked in a parking lot.,A man is sitting on a bench with his dog.,a car is parked in front of a car,2,2,"[8, 10, 9]"
b00000872_21i57n_20150518_130403e.jpg,a small kitchen with a stove and a stove.,A man in a kitchen with a large metal sink.,a man in a kitchen preparing food in a kitchen,1,1,"[9, 10, 10]"
b00003006_21i57n_20150517_171250e.jpg,a man in a green shirt holding a frisbee.,A man is standing in the middle of a field.,a man in a hat and a chair,2,2,"[9, 10, 8]"
b00000296_21i57n_20150525_204314e.jpg,a group of people standing next to each other.,A man standing in front of a small child.,a man and woman are playing a video game,1,4,"[9, 9, 9]"
b00002631_21i57n_20150517_142133e.jpg,a person flying a kite on a beach.,A very long train on a sandy beach near the ocean.,a kite flying over a sandy beach,0,0,"[8, 11, 7]"
b00000662_21i57n_20150526_155921e.jpg,a man in a suit is holding a cell phone.,A man holding a video game controller in his hand.,a man in a red shirt and cup,1,3,"[10, 10, 8]"
b00004458_21i57n_20150522_004121e.jpg,a group of people standing next to each other.,A group of people sitting at a table with wine glasses.,a woman is sitting at a table with a bottle,3,5,"[9, 11, 10]"
b00002402_21i57n_20150509_220729e.jpg,a group of people standing around a table.,A group of people standing around a table with food.,a woman is preparing food in a kitchen,2,8,"[8, 10, 8]"
b00002495_21i57n_20150519_172341e.jpg,a living room with a couch and a window.,A large group of people sitting at a table.,a desk with a bottle and a bottle,2,2,"[9, 9, 8]"
b00000420_21i57n_20150525_221058e.jpg,a man is standing in front of a television.,A man in a kitchen with a large mirror.,a man in a kitchen with a bottle,2,5,"[9, 9, 8]"
b00003257_21i57n_20150520_130851e.jpg,a man is holding a piece of cake.,A man is holding a phone while standing in the street.,a man and woman are sitting at a table,1,2,"[8, 11, 9]"
b00005701_21i57n_20150524_020757e.jpg,a group of people standing next to each other.,A woman is holding a cell phone in her hand.,a man is standing in front of a bicycle,1,5,"[9, 10, 9]"
b00000746_21i57n_20150518_121555e.jpg,a group of people standing next to each other.,A large white and grey train on a train.,a person with a person in it is in a room,0,0,"[9, 9, 11]"
b00000339_21i57n_20150518_001423e.jpg,a man sitting at a table with a glass of wine.,A man in a black shirt and a white shirt and a black and white photo.,a man is playing a video game in a living room,2,4,"[11, 16, 11]"
b00003297_21i57n_20150517_191318e.jpg,a man taking a picture of a man on a motorcycle.,A woman is holding a cell phone while standing in the street.,a man and woman are standing in a person,2,2,"[11, 12, 9]"
b00000141_21i57n_20150517_223023e.jpg,a group of people sitting at a table with wine glasses.,A man in a kitchen preparing food in a kitchen.,a man is standing in front of a bottle,6,12,"[11, 10, 9]"
b00002775_21i57n_20150517_152216e.jpg,a man standing on the side of a street.,A man is standing on a street with a backpack.,a man is standing in front of a boat,3,4,"[9, 10, 9]"
b00005266_21i57n_20150523_121740e.jpg,a man and a woman riding a bike.,A man is standing on a bike in front of a building.,a man riding a bike down a street,2,5,"[8, 12, 8]"
b00002828_21i57n_20150517_154503e.jpg,a view of a window in a room.,A man is sitting on a white and black background.,a person is sitting on a tv in a tv,2,2,"[8, 10, 10]"
b00002618_21i57n_20150517_141942e.jpg,a person on a beach flying a kite.,A person on a beach flying a large kite.,a kite flying a kite on a beach,1,1,"[8, 9, 8]"
b00000672_21i57n_20150526_160633e.jpg,a woman sitting at a table with a laptop.,A man in a kitchen preparing food in a kitchen.,a man is preparing food in a kitchen,2,6,"[9, 10, 8]"
b00002795_21i57n_20150517_153038e.jpg,a group of people walking down a street.,A group of people on a street with cars.,a group of people riding motorcycles down a street,4,6,"[8, 9, 9]"
b00000332_21i57n_20150518_001111e.jpg,a man sitting at a table with a glass of wine.,A kitchen with a counter top and a table.,a man sitting at a table with a wine glass,6,8,"[11, 9, 10]"
b00005407_21i57n_20150523_134928e.jpg,a bicycle parked on the side of a road.,A man is sitting on a bench in the grass.,a bicycle parked on a sidewalk near a building,2,2,"[9, 10, 9]"
b00000400_21i57n_20150518_083345e.jpg,a city street filled with lots of traffic.,A large group of people in a room with a large display of food.,a large bicycle is parked at a station,0,0,"[8, 14, 8]"
b00005128_21i57n_20150522_220658e.jpg,a group of people standing around a table.,A man in a restaurant eating a large piece of food.,a man is holding a glass of wine,4,8,"[8, 11, 8]"
b00003080_21i57n_20150517_174630e.jpg,a white and white bus parked in front of a building.,A man is standing on a street next to a large truck.,a person is parked on the side of a street,2,2,"[11, 12, 10]"
b00003059_21i57n_20150517_173705e.jpg,a person riding a horse down a street.,A woman is walking down a street with a backpack.,a group of people riding bikes down a street,3,8,"[8, 10, 9]"
b00000207_21i57n_20150517_230259e.jpg,a group of people sitting at a table.,A young child in a dark room with a large window.,a man sitting at a table with a wine glass,3,5,"[8, 11, 10]"
b00005439_21i57n_20150523_140923e.jpg,a group of people standing in a kitchen.,A man is standing in front of a table with a cake.,a man is playing a video game in a living room,1,2,"[8, 12, 11]"
b00004963_21i57n_20150512_131957e.jpg,a view of a room with a large window.,A large group of people are in a kitchen.,a chair is sitting at a table with a person,0,0,"[9, 9, 10]"
b00001503_21i57n_20150509_125733e.jpg,a group of people standing next to each other.,A group of people standing around a table with a cell phone.,a group of people standing around a building,1,6,"[9, 12, 8]"
b00001524_21i57n_20150518_174404e.jpg,a view of a view of an airplane.,A large white airplane sitting on top of a bed.,a chair with a remote and a chair,2,2,"[8, 10, 8]"
b00002673_21i57n_20150510_001116e.jpg,a group of people standing next to each other.,A man is playing a video game while a woman watches.,a man and woman playing a video game,1,3,"[9, 11, 8]"
b00000005_21i57n_20150517_212856e.jpg,a group of people standing around a table.,A man in a restaurant eating a glass of wine.,a man is standing in front of a bottle,3,4,"[8, 10, 9]"
b00001814_21i57n_20150519_085624e.jpg,a living room with a couch and a television.,A large room with a large window and a large window.,a book and a cup in a room,2,8,"[9, 11, 8]"
b00002655_21i57n_20150510_000235e.jpg,two men standing next to each other on a table.,A woman holding a black and white dog in a dark room.,a man in a suit and cup is holding a cell phone,1,3,"[10, 12, 12]"
b00000399_21i57n_20150518_083320e.jpg,a person standing in a kitchen with food.,A large group of people are in a room.,a person is hanging from a ceiling in a store,1,2,"[8, 9, 10]"
b00003092_21i57n_20150517_175126e.jpg,a man standing in front of a refrigerator.,A group of people are standing in the middle of a room.,a man is standing in front of a store,1,3,"[8, 12, 9]"
b00002654_21i57n_20150517_143101e.jpg,a large body of water on a beach.,A man is walking down a road with a dog on his back.,a person is walking along the beach near the ocean,1,3,"[8, 13, 10]"
b00000863_21i57n_20150518_130318e.jpg,a couple of people standing in a room.,A large white and black train on a platform.,a refrigerator is sitting on the side of a building,0,0,"[8, 9, 10]"
b00002611_21i57n_20150517_141652e.jpg,a person on a beach flying a kite.,A man is flying a kite on a brick wall.,a person is flying over the beach with a person,1,2,"[8, 10, 10]"
b00004734_21i57n_20150522_131644e.jpg,a woman sitting on a bench with a book.,A woman sitting on a bench with a child.,a woman sitting on a person with a person,1,1,"[9, 9, 9]"
b00004765_21i57n_20150522_133635e.jpg,a woman laying on a bed with a stuffed animal.,A woman is sitting on a bench with her dog.,a woman sitting on a dining table with a dining table,1,2,"[10, 10, 11]"
b00000330_21i57n_20150525_210458e.jpg,a group of people sitting around a table.,A group of people are sitting in a chair.,a man sitting on a bicycle with a bicycle,4,10,"[8, 9, 9]"
b00000643_21i57n_20150518_113221e.jpg,a group of people sitting at a table.,A man in a white shirt and a white shirt and a white and blue tie.,a group of people sitting around a table with food,1,4,"[8, 16, 10]"
b00004240_21i57n_20150521_154514e.jpg,a man is holding a glass of wine.,A man in a white shirt and a white shirt and a white fixing a glass of wine.,a man is holding a glass of wine,4,7,"[8, 18, 8]"
b00002566_21i57n_20150517_135853e.jpg,a person on a beach with a kite.,A man is standing on a beach holding a kite.,a man on a beach flying a kite,3,3,"[8, 10, 8]"
b00004257_21i57n_20150521_155305e.jpg,a small room with a television on the floor.,A large white and grey kitchen with a large screen.,a person and a person in a room,0,0,"[9, 10, 8]"
b00002976_21i57n_20150517_165922e.jpg,a man standing next to a man on a bench.,A man is standing on a street with a large kite.,a man is standing next to a car,2,2,"[10, 11, 8]"
b00003064_21i57n_20150517_173917e.jpg,a man is standing next to a bus.,A woman is sitting on a wooden bench with a cat.,a man is sitting on a bicycle in a park,1,1,"[8, 11, 10]"
b00000125_21i57n_20150517_222242e.jpg,a group of people sitting at a table.,A man is standing in front of a large cake.,a group of people sitting around a table,3,5,"[8, 10, 8]"
b00002844_21i57n_20150517_155128e.jpg,a man is holding a glass of wine.,A man in a red shirt is sitting on a red chair.,a man is standing in front of a mirror,2,2,"[8, 12, 9]"
b00004741_21i57n_20150522_132102e.jpg,a man sitting on a couch holding a banana.,A girl is holding a baby in a small child 's hand.,a woman is laying on a bicycle with a person,1,2,"[9, 12, 10]"
b00000377_21i57n_20150525_214011e.jpg,a man is taking a picture of a man.,A man in a suit and tie standing in front of a train.,a man is taking a picture of a man in a mirror,1,3,"[9, 13, 12]"
b00005082_21i57n_20150522_213548e.jpg,a woman sitting at a table with a glass of wine.,A group of people at a restaurant with a large clock in the background.,a group of people standing around a table,2,5,"[11, 14, 8]"
b00000261_21i57n_20150525_201921e.jpg,a group of people standing around a table with food.,A man is standing in front of a table with a plate of food.,a man and woman are cutting a bicycle,3,8,"[10, 14, 8]"
b00002635_21i57n_20150517_142309e.jpg,a person flying a kite on a beach.,A person is holding a skate board in the air.,a person is flying a kite on the beach,1,1,"[8, 10, 9]"
b00004629_21i57n_20150522_020537e.jpg,a group of people sitting on a skateboard.,A man in a dark shirt is standing in a room.,a group of people sitting around a table,2,5,"[8, 11, 8]"
b00004644_21i57n_20150522_021300e.jpg,a man sitting at a table with a glass of wine.,A man in a restaurant talking on a cell phone.,a group of people sitting around a table,1,3,"[11, 10, 8]"
b00004951_21i57n_20150512_131433e.jpg,a man standing on a sidewalk with a skateboard.,A man standing next to a man in a park.,a man in a suit and bench standing on a sidewalk,3,4,"[9, 10, 11]"
b00000386_21i57n_20150518_082706e.jpg,a person riding a bike down a street.,A man riding a bike down a street next to a traffic light.,a bicycle is parked on the side of a street,3,7,"[8, 13, 10]"
b00004500_21i57n_20150522_010217e.jpg,a man sitting at a table with a bowl of food.,A man in a restaurant eating a plate of food.,a man is sitting in a bicycle with a bicycle,3,5,"[11, 10, 10]"
b00002664_21i57n_20150517_143550e.jpg,a view of a beach with a mountain.,A person is flying a kite in the sky.,a kite is flying a kite on the beach,1,1,"[8, 9, 9]"
b00000372_21i57n_20150525_213617e.jpg,a person is playing a video game in a living room.,A man is holding a small child in a room.,a man is eating a bicycle with a bottle,3,3,"[11, 10, 9]"
b00001254_21i57n_20150509_105939e.jpg,two men standing next to each other on a motorcycle.,A man is standing in front of a car.,a man and woman are standing in a room,2,5,"[10, 9, 9]"
b00000461_21i57n_20150518_085609e.jpg,a person laying on a bed in a room.,A man is sitting on a toilet in a bathroom.,a sink is sitting in a bathroom sink,4,6,"[9, 10, 8]"
b00003170_21i57n_20150520_122918e.jpg,a group of people standing around a table.,A man in a black and white shirt and a black and white picture.,a group of people sitting around a table,1,9,"[8, 14, 8]"
b00002616_21i57n_20150517_141854e.jpg,a couple of boats that are in the water.,A man is standing on a beach with a large sky background.,a person on a beach with a dog on the beach,0,0,"[9, 12, 11]"
b00002652_21i57n_20150517_143010e.jpg,a group of people flying kites on a beach.,A person on a beach flying a kite.,a group of people flying kites in a field,2,4,"[9, 8, 9]"
b00003220_21i57n_20150520_125156e.jpg,a man sitting at a table with a plate of food.,A man in a restaurant eating a sandwich and a bowl of food.,a man is eating a bicycle with a person,2,7,"[11, 13, 9]"
b00002902_21i57n_20150510_165122e.jpg,a man and a woman standing in a field.,A woman is holding a kite in the grass.,a man is holding a bicycle in his hand,2,4,"[9, 9, 9]"
b00000446_21i57n_20150518_084847e.jpg,a woman standing in front of a mirror.,A man in a red shirt and a tie and a woman in a room.,a man in a white shirt and sink in a bathroom,2,2,"[8, 15, 11]"
b00000644_21i57n_20150518_113248e.jpg,a group of people sitting at a table.,A man in a white shirt and a white shirt and a white shirt and a white shirt and a white shirt.,a man is standing in front of a bicycle,4,7,"[8, 22, 9]"
b00002630_21i57n_20150517_142110e.jpg,a person flying a kite on a beach.,A man is flying a kite in the sky.,a person flying a kite on a beach,2,2,"[8, 9, 8]"
b00000655_21i57n_20150526_155439e.jpg,a group of people standing around a table.,A woman is sitting at a table with a plate of food.,a man is cutting a cup with a cup,4,8,"[8, 12, 9]"
b00002678_21i57n_20150517_144131e.jpg,a person on a beach with a kite.,A man is standing on a beach with a large kite.,a kite on a beach with a kite on the beach,0,0,"[8, 11, 11]"
b00002565_21i57n_20150517_135829e.jpg,a person on a beach with a surfboard.,A man is sitting on a beach with a kite.,a person on a beach with a kite on the beach,0,0,"[8, 10, 11]"
